model,MAE,RMSE,R2
linear_regression,11.625754191635036,14.805799765183702,-0.0007785940055418106
random_forest_regressor,11.632439424548258,14.861226134732084,-0.008285564484437069
gradient_boosting_regressor,11.700831299506223,14.945632922532315,-0.01977153907543161
hist_gradient_boosting_regressor,11.757844081041178,15.035943996589674,-0.03213299836449979
extra_trees_regressor,11.971435105518145,15.289070521618262,-0.0671769392249888
knn_regressor,12.157562378651,15.522411249603978,-0.09999987306581537
decision_tree_regressor,12.552965163459673,16.64447879314499,-0.2647790537154151
